"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 30 00:59:00 GMT 2022","Wed Nov 30 00:59:22 GMT 2022","22063","Test checkoutFlow","SG","","","","SG Test Address page",""
"passed","Wed Nov 30 01:05:59 GMT 2022","Wed Nov 30 01:06:05 GMT 2022","5631","","Test DLPL1 - pageView","","","","Test SG_BLOG",""
"passed","Wed Nov 30 01:04:14 GMT 2022","Wed Nov 30 01:04:21 GMT 2022","6937","","Test DLE3 - productClick","","","","Test US productClick",""
"passed","Wed Nov 30 01:12:01 GMT 2022","Wed Nov 30 01:12:35 GMT 2022","34261","","Test PDP GTM","","","","test US bundle",""
"failed","Wed Nov 30 00:57:43 GMT 2022","Wed Nov 30 00:58:07 GMT 2022","24223","Test checkoutFlow","AU","","","","AU Test Payment page",""
"passed","Wed Nov 30 01:03:32 GMT 2022","Wed Nov 30 01:03:39 GMT 2022","7314","","Test DLE1 - productImpression","","","","Test US productImpression",""
"failed","Wed Nov 30 01:01:00 GMT 2022","Wed Nov 30 01:01:26 GMT 2022","25944","Test checkoutFlow","US","","","","US Test Shipping Method page",""
"failed","Wed Nov 30 00:58:07 GMT 2022","Wed Nov 30 00:58:29 GMT 2022","22064","Test checkoutFlow","AU","","","","AU Delete address & cart",""
"passed","Wed Nov 30 01:08:50 GMT 2022","Wed Nov 30 01:09:18 GMT 2022","28277","","Test PDP GTM","","","","Trigger AU simple",""
"passed","Wed Nov 30 01:05:51 GMT 2022","Wed Nov 30 01:05:59 GMT 2022","8260","","Test DLPL1 - pageView","","","","Test SG_CATEGORY",""
"passed","Wed Nov 30 00:58:29 GMT 2022","Wed Nov 30 00:59:00 GMT 2022","30304","Test checkoutFlow","SG","","","","SG Add product to cart",""
"passed","Wed Nov 30 01:04:03 GMT 2022","Wed Nov 30 01:04:14 GMT 2022","10456","","Test DLE3 - productClick","","","","Test SG productClick",""
"passed","Wed Nov 30 01:12:49 GMT 2022","Wed Nov 30 01:13:33 GMT 2022","43497","","Test PDP GTM","","","","Test US configurable",""
"failed","Wed Nov 30 01:01:26 GMT 2022","Wed Nov 30 01:01:47 GMT 2022","21509","Test checkoutFlow","US","","","","US Test Payment page",""
"passed","Wed Nov 30 01:00:41 GMT 2022","Wed Nov 30 01:01:00 GMT 2022","18504","Test checkoutFlow","US","","","","US Test Address page",""
"passed","Wed Nov 30 01:00:09 GMT 2022","Wed Nov 30 01:00:41 GMT 2022","31982","Test checkoutFlow","US","","","","US Add product to cart",""
"passed","Wed Nov 30 01:06:05 GMT 2022","Wed Nov 30 01:06:12 GMT 2022","7225","","Test DLPL1 - pageView","","","","Test SG_TRADE",""
"passed","Wed Nov 30 01:06:13 GMT 2022","Wed Nov 30 01:06:18 GMT 2022","5495","","Test DLPL1 - pageView","","","","Test US_CATEGORY",""
"passed","Wed Nov 30 01:05:42 GMT 2022","Wed Nov 30 01:05:49 GMT 2022","7137","","Test DLPL1 - pageView","","","","Test AU_TRADE",""
"passed","Wed Nov 30 00:59:22 GMT 2022","Wed Nov 30 00:59:40 GMT 2022","18129","Test checkoutFlow","SG","","","","SG Test Shipping Method page",""
"passed","Wed Nov 30 00:59:40 GMT 2022","Wed Nov 30 00:59:58 GMT 2022","17845","Test checkoutFlow","SG","","","","SG Test Payment page",""
"passed","Wed Nov 30 01:10:21 GMT 2022","Wed Nov 30 01:11:01 GMT 2022","39913","","Test PDP GTM","","","","Test SG configurable",""
"passed","Wed Nov 30 01:05:27 GMT 2022","Wed Nov 30 01:05:28 GMT 2022","1574","","Test DLPL1 - pageView","","","","Test AU_HPG",""
"passed","Wed Nov 30 01:13:50 GMT 2022","Wed Nov 30 01:14:16 GMT 2022","26760","","Test PDP GTM","","","","Trigger US simple",""
"passed","Wed Nov 30 01:05:28 GMT 2022","Wed Nov 30 01:05:36 GMT 2022","8073","","Test DLPL1 - pageView","","","","Test AU_CATEGORY",""
"passed","Wed Nov 30 01:05:49 GMT 2022","Wed Nov 30 01:05:51 GMT 2022","1636","","Test DLPL1 - pageView","","","","Test SG_HPG",""
"passed","Wed Nov 30 01:04:39 GMT 2022","Wed Nov 30 01:04:49 GMT 2022","9257","","Test DLE4 - softFilter","","","","AU Test soft filter",""
"failed","Wed Nov 30 01:11:19 GMT 2022","Wed Nov 30 01:11:47 GMT 2022","27803","","Test PDP GTM","","","","Trigger SG simple",""
"passed","Wed Nov 30 01:06:48 GMT 2022","Wed Nov 30 01:07:26 GMT 2022","37536","","Test PDP GTM","","","","Test AU bundle",""
"passed","Wed Nov 30 01:05:02 GMT 2022","Wed Nov 30 01:05:12 GMT 2022","10084","","Test DLE4 - softFilter","","","","US Test soft filter",""
"failed","Wed Nov 30 00:57:16 GMT 2022","Wed Nov 30 00:57:43 GMT 2022","26671","Test checkoutFlow","AU","","","","AU Test Shipping Method page",""
"passed","Wed Nov 30 00:56:10 GMT 2022","Wed Nov 30 00:56:53 GMT 2022","43004","Test checkoutFlow","AU","","","","AU Add product to cart",""
"passed","Wed Nov 30 01:06:12 GMT 2022","Wed Nov 30 01:06:13 GMT 2022","945","","Test DLPL1 - pageView","","","","Test US_HPG",""
"passed","Wed Nov 30 01:03:22 GMT 2022","Wed Nov 30 01:03:32 GMT 2022","9956","","Test DLE1 - productImpression","","","","Test SG productImpression",""
"passed","Wed Nov 30 01:04:49 GMT 2022","Wed Nov 30 01:05:02 GMT 2022","13274","","Test DLE4 - softFilter","","","","SG Test soft filter",""
"passed","Wed Nov 30 01:03:13 GMT 2022","Wed Nov 30 01:03:22 GMT 2022","9293","","Test DLE1 - productImpression","","","","Test AU productImpression",""
"passed","Wed Nov 30 01:01:47 GMT 2022","Wed Nov 30 01:01:57 GMT 2022","10038","Test checkoutFlow","US","","","","US Delete address & cart",""
"passed","Wed Nov 30 01:06:23 GMT 2022","Wed Nov 30 01:06:27 GMT 2022","3939","","Test DLPL1 - pageView","","","","Test US_TRADE",""
"passed","Wed Nov 30 01:03:55 GMT 2022","Wed Nov 30 01:04:03 GMT 2022","7979","","Test DLE3 - productClick","","","","Test AU productClick",""
"passed","Wed Nov 30 01:06:18 GMT 2022","Wed Nov 30 01:06:23 GMT 2022","4535","","Test DLPL1 - pageView","","","","Test US_BLOG",""
"passed","Wed Nov 30 01:07:45 GMT 2022","Wed Nov 30 01:08:30 GMT 2022","45016","","Test PDP GTM","","","","Trigger AU configurable",""
"failed","Wed Nov 30 00:56:53 GMT 2022","Wed Nov 30 00:57:16 GMT 2022","23174","Test checkoutFlow","AU","","","","AU Test Address page",""
"passed","Wed Nov 30 00:59:58 GMT 2022","Wed Nov 30 01:00:09 GMT 2022","10480","Test checkoutFlow","SG","","","","SG Delete address & cart",""
"passed","Wed Nov 30 01:05:36 GMT 2022","Wed Nov 30 01:05:42 GMT 2022","5407","","Test DLPL1 - pageView","","","","Test AU_BLOG",""
"passed","Wed Nov 30 01:09:34 GMT 2022","Wed Nov 30 01:10:05 GMT 2022","30991","","Test PDP GTM","","","","Test SG bundle",""
